Date,Population,Year
12/31/1950,24786236,1950
12/31/1951,25242274,1951
12/31/1952,25704541,1952
12/31/1953,26168161,1953
12/31/1954,26630354,1954
12/31/1955,27099199,1955
12/31/1956,27582025,1956
12/31/1957,28076084,1957
12/31/1958,28583989,1958
12/31/1959,29068120,1959
12/31/1960,29509903,1960
12/31/1961,29913232,1961
12/31/1962,30271919,1962
12/31/1963,30608319,1963
12/31/1964,30927873,1964
12/31/1965,31224081,1965
12/31/1966,31504832,1966
12/31/1967,31765963,1967
12/31/1968,32016870,1968
12/31/1969,32262057,1969
12/31/1970,32482943,1970
12/31/1971,32710744,1971
12/31/1972,32979398,1972
12/31/1973,33270009,1973
12/31/1974,33578683,1974
12/31/1975,33899770,1975
12/31/1976,34229706,1976
12/31/1977,34561582,1977
12/31/1978,34870698,1978
12/31/1979,35188357,1979
12/31/1980,35521429,1980
12/31/1981,35851094,1981
12/31/1982,36188644,1982
12/31/1983,36536141,1983
12/31/1984,36876560,1984
12/31/1985,37179160,1985
12/31/1986,37436798,1986
12/31/1987,37654411,1987
12/31/1988,37812076,1988
12/31/1989,37939013,1989
12/31/1990,38064255,1990
12/31/1991,38167382,1991
12/31/1992,38252276,1992
12/31/1993,38319296,1993
12/31/1994,38375459,1994
12/31/1995,38401978,1995
12/31/1996,38401408,1996
12/31/1997,38396130,1997
12/31/1998,38379990,1998
12/31/1999,38354956,1999
12/31/2000,38504431,2000
12/31/2001,38662862,2001
12/31/2002,38647476,2002
12/31/2003,38621531,2003
12/31/2004,38596042,2004
12/31/2005,38575911,2005
12/31/2006,38547179,2006
12/31/2007,38521874,2007
12/31/2008,38522882,2008
12/31/2009,38555285,2009
12/31/2010,38597353,2010
12/31/2011,38620847,2011
12/31/2012,38625874,2012
12/31/2013,38607353,2013
12/31/2014,38581872,2014
12/31/2015,38553146,2015
12/31/2016,38532113,2016
12/31/2017,38532812,2017
12/31/2018,38521457,2018
12/31/2019,38493601,2019
12/31/2020,38428366,2020
12/31/2021,38307726,2021
12/31/2022,39857145,2022
12/31/2023,41026067,2023
12/31/2024,40221726,2024
12/31/2025,39616730,2025
12/31/2026,39242577,2026
12/31/2027,39047654,2027
12/31/2028,38923845,2028
12/31/2029,38817187,2029
12/31/2030,38700518,2030
12/31/2031,38573935,2031
12/31/2032,38437517,2032
12/31/2033,38291012,2033
12/31/2034,38135299,2034
12/31/2035,37971541,2035
12/31/2036,37799685,2036
12/31/2037,37620296,2037
12/31/2038,37434342,2038
12/31/2039,37241771,2039
12/31/2040,37043145,2040
12/31/2041,36840499,2041
12/31/2042,36634491,2042
12/31/2043,36425187,2043
12/31/2044,36214005,2044
12/31/2045,36001211,2045
12/31/2046,35787488,2046
12/31/2047,35573947,2047
12/31/2048,35359891,2048
12/31/2049,35145640,2049
12/31/2050,34932339,2050
12/31/2051,34718810,2051
12/31/2052,34504622,2052
12/31/2053,34290230,2053
12/31/2054,34074967,2054
12/31/2055,33858601,2055
12/31/2056,33639964,2056
12/31/2057,33418205,2057
12/31/2058,33192781,2058
12/31/2059,32962467,2059
12/31/2060,32726742,2060
12/31/2061,32485014,2061
12/31/2062,32237121,2062
12/31/2063,31983821,2063
12/31/2064,31724726,2064
12/31/2065,31459143,2065
12/31/2066,31187676,2066
12/31/2067,30911364,2067
12/31/2068,30630767,2068
12/31/2069,30345923,2069
12/31/2070,30058215,2070
12/31/2071,29769211,2071
12/31/2072,29479475,2072
12/31/2073,29189712,2073
12/31/2074,28900583,2074
12/31/2075,28613166,2075
12/31/2076,28328679,2076
12/31/2077,28047959,2077
12/31/2078,27771353,2078
12/31/2079,27500057,2079
12/31/2080,27235018,2080
12/31/2081,26975964,2081
12/31/2082,26723169,2082
12/31/2083,26476938,2083
12/31/2084,26237351,2084
12/31/2085,26004010,2085
12/31/2086,25776907,2086
12/31/2087,25555912,2087
12/31/2088,25340357,2088
12/31/2089,25130396,2089
12/31/2090,24926208,2090
12/31/2091,24727265,2091
12/31/2092,24532860,2092
12/31/2093,24342279,2093
12/31/2094,24154786,2094
12/31/2095,23970225,2095
12/31/2096,23788547,2096
12/31/2097,23609585,2097
12/31/2098,23432809,2098
12/31/2099,23257158,2099
12/31/2100,23082363,2100
